angle_index,angle_rad,median,q25,q75,p05,p95,mean,n_rows,family,seed,checkpoint_sha256,stride,grid,statistic
93,-0.8590293526649475,5.865997791290283,3.5774675011634827,6.653337478637695,1.5155251026153564,7.579374837875367,5.135773090682924,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
94,-0.834485650062561,6.177640438079834,3.6097384095191956,7.020411968231201,1.5496632933616639,7.923374748229981,5.344877274292348,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
95,-0.8099419474601746,6.500870704650879,3.649687707424164,7.388604521751404,1.5950051486492156,8.259311532974243,5.5558541773342425,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
96,-0.7853981852531433,6.773635149002075,3.6556679010391235,7.71617579460144,1.6129197478294373,8.537288141250611,5.736327062009109,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
97,-0.7608544826507568,6.936260223388672,3.630410134792328,7.9585795402526855,1.5970843434333801,8.747411012649536,5.860910834667307,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
98,-0.7363107800483704,6.974136114120483,3.5783565044403076,8.096302270889282,1.553542560338974,8.86787452697754,5.9129470853286765,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
99,-0.7117671370506287,6.907385349273682,3.491325557231903,8.121965646743774,1.460158884525299,8.889477729797363,5.884587899027737,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
100,-0.6872234344482422,6.736639022827148,3.3752893805503845,8.037502765655518,1.3413737058639525,8.811154794692994,5.776287775127976,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
101,-0.6626797318458557,6.481265306472778,3.2333343029022217,7.840217113494873,1.2344920456409454,8.632689189910888,5.596088689763651,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
102,-0.6381360292434692,6.158101558685303,3.0734742283821106,7.5385825634002686,1.184931653738022,8.353298664093018,5.358427247695487,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
